Name,Total,HP,Attack,Defence,Sp_attack,Sp_defence,Speed,KMeans_Cluster,PCA1,PCA2,Agg_Cluster,DBSCAN_Cluster
Bulbasaur,318,45,49,49,65,65,45,0,-1.8823345547685533,-0.015904139559264237,1,0
Ivysaur,405,60,62,63,80,80,60,2,-0.5069018462143228,0.03392696407873902,0,0
Venusaur,525,80,82,83,100,100,80,2,1.3888602978063747,0.07741440550643187,0,0
Mega Venusaur,625,80,100,123,122,120,80,1,2.967784484694343,-0.6363880590819961,2,0
Charmander,309,39,52,43,60,50,65,0,-2.105795052107859,0.6660093234383047,1,0
Charmeleon,405,58,64,58,80,65,80,2,-0.5835145735919508,0.7297965259761182,0,0
Charizard,534,78,84,78,109,85,100,1,1.4547474070429691,0.8582242561041181,0,0
Mega Charizard,634,78,130,111,130,85,100,1,3.0013996906986224,0.4700761232295814,2,0
Mega Charizard X,634,78,104,78,159,115,100,1,3.0982138256808796,1.0838935882466634,2,0
Squirtle,314,44,48,65,50,64,43,0,-1.961899523320561,-0.4968619055781355,1,0
Wartortle,405,59,63,80,65,80,58,2,-0.5222405938938223,-0.47306135969937096,0,0
Blastoise,530,79,83,100,85,105,78,2,1.4627081571829548,-0.4736490942317033,0,0
Mega Blastoise,630,79,103,120,135,115,78,1,3.043844102155345,-0.4524492998401529,2,0
Caterpie,195,45,30,35,20,20,45,0,-3.904451336002394,0.20529176932614193,1,0
Metapod,205,50,20,55,25,25,30,0,-3.7144898013770367,-0.5430734851886623,1,0
Butterfree,395,60,45,50,90,80,70,2,-0.6754778274680758,0.5903038149821164,0,0
Weedle,195,40,35,30,20,20,50,0,-3.918058078238549,0.4366422360167467,1,0
Kakuna,205,45,25,50,25,25,35,0,-3.728096543613192,-0.31172301849805784,1,0
Beedrill,395,65,90,40,45,80,75,2,-0.669839588738925,0.49539782995932585,0,0
Mega Beedrill,495,65,150,40,15,80,145,2,0.7406847229266124,1.8769077628372606,0,-1
Pidgey,251,40,45,40,35,35,56,0,-3.0272659821441446,0.4027097864373737,1,0
Pidgeotto,349,63,60,55,50,50,71,0,-1.4678554797213732,0.40875948042329796,1,0
Pidgeot,479,83,80,75,70,70,101,2,0.5615467664487088,0.6822404280189892,0,0
Mega Pidgeot,579,83,80,80,135,80,121,1,2.109969660157612,1.572342168650492,2,0
Rattata,253,30,56,35,25,35,72,0,-3.043190517614029,0.814747659321872,1,0
Mega Rattata,253,30,56,35,25,35,72,0,-3.043190517614029,0.814747659321872,1,0
Raticate,413,55,81,60,50,70,97,2,-0.4951146234759984,0.7809566091864374,0,0
Mega Raticate,413,75,71,70,40,80,77,2,-0.40951506082543365,-0.12747363969477435,0,0
Spearow,262,40,60,30,31,31,70,0,-2.884549599776554,0.9262671385561899,1,0
Fearow,442,65,90,65,61,61,100,2,-0.053295454110339084,0.9129094197279836,0,0
Ekans,288,35,60,44,40,54,55,0,-2.412153414741814,0.21353586890264498,1,0
Arbok,448,60,95,69,65,79,80,2,0.11588977395082188,0.2770101182488669,0,0
Pikachu,320,35,55,40,50,50,90,0,-1.995482636315393,1.219747954351973,1,0
Mega Pikachu,430,45,80,50,75,60,120,2,-0.305310869315757,1.8567182565780707,0,0
Raichu,485,60,90,55,90,80,110,2,0.6452188587696027,1.4561025432835637,0,0
Mega Raichu,485,60,85,50,95,85,110,2,0.6607977987493909,1.5498515032184577,0,0
Sandshrew,300,50,75,85,20,30,40,0,-2.258332938562961,-0.925367355056448,1,0
Mega Sandshrew,300,50,75,90,10,35,40,0,-2.253875494660763,-1.159013189970144,1,0
Sandslash,450,75,100,110,45,55,65,2,0.11136974146291063,-0.871008053271832,0,0
Mega Sandslash,450,75,100,120,25,65,65,2,0.12028462926730717,-1.3382997230992242,0,0
Nidoran♀,275,55,47,52,40,40,41,0,-2.593076100933129,-0.21561679322312222,1,0
Nidorina,365,70,62,67,55,55,56,0,-1.171254492917606,-0.1830012121523526,1,0
Nidoqueen,505,90,92,87,75,85,76,2,1.0612213738820149,-0.21854917508310429,0,0
Nidoran♂,273,46,57,40,40,40,50,0,-2.6458965792753513,0.2588410778147908,1,0
Nidorino,365,61,72,57,55,55,65,0,-1.194633375803949,0.25337963472645103,1,0
