iter	RMSE
0	0.7469000791
1	0.7424508643
2	0.738093221
3	0.7339015015
4	0.7298857687
5	0.7257832089
6	0.7215830663
7	0.7175364457
8	0.7133745324
9	0.7093384021
10	0.7053705194
11	0.7015806461
12	0.697715243
13	0.6938085192
14	0.6898139208
15	0.686142009
16	0.6824753769
17	0.6786371702
18	0.6750234118
19	0.6713047385
20	0.6676373715
21	0.6641707793
22	0.6605901725
23	0.6570888317
24	0.6537614986
25	0.6504409196
26	0.6470393109
27	0.6438214215
28	0.6407300358
29	0.6374321567
30	0.6341917899
31	0.6309667962
32	0.6278353648
33	0.6248307231
34	0.6217388696
35	0.6188960362
36	0.6160013861
37	0.6130273362
38	0.6100080011
39	0.6070588512
40	0.6043351131
41	0.6017597847
42	0.5991036678
43	0.5964884994
44	0.5939722068
45	0.5915314771
46	0.5889427662
47	0.5863609108
48	0.5837374114
49	0.5813097483
50	0.5788988957
51	0.5764590885
52	0.5741909512
53	0.5719161248
54	0.5695485276
55	0.567265824
56	0.5648988934
57	0.5625932201
58	0.5603695646
59	0.5582118469
60	0.5560072145
61	0.5538475581
62	0.5517776189
63	0.5496862141
64	0.5476229806
65	0.5458183449
66	0.5437298365
67	0.5417049469
68	0.5397315355
69	0.5376640791
70	0.5358704071
71	0.5339315208
72	0.5321867336
73	0.530419882
74	0.5284733528
75	0.5265976916
76	0.5248401344
77	0.5230634406
78	0.5213356591
79	0.5195408424
80	0.5178099656
81	0.5161730877
82	0.5146019365
83	0.5129447733
84	0.5114146336
85	0.5098152193
86	0.5083008924
87	0.5067603194
88	0.5052395279
89	0.5037125573
90	0.5022966275
91	0.5007640309
92	0.4992775987
93	0.4978219678
94	0.4965313746
95	0.4950504178
96	0.4936201802
97	0.4921770511
98	0.4908022276
99	0.4894944834
100	0.4881823335
101	0.4868260852
102	0.485562939
103	0.4842455712
104	0.4830841513
105	0.4817826709
106	0.4805739887
107	0.4793105979
108	0.4781494895
109	0.476926609
110	0.4758846499
111	0.4747272807
112	0.4736331944
113	0.4725295593
114	0.4714380278
115	0.470356546
116	0.4693803837
117	0.4683095378
118	0.4672236715
119	0.4662041881
120	0.4652501763
121	0.4642483543
122	0.4632024922
123	0.4621582793
124	0.4612450497
125	0.4602945965
126	0.4592596197
127	0.4582703415
128	0.4574153576
129	0.4565440126
130	0.4556633809
131	0.4547603445
132	0.4538388973
133	0.4529063573
134	0.4519930697
135	0.4511229877
136	0.4502866867
137	0.4493639115
138	0.4485324701
139	0.4476497464
140	0.4468634802
141	0.4460281649
142	0.445201921
143	0.4444212849
144	0.4436279587
145	0.4428622652
146	0.4420975227
147	0.4414233064
148	0.4406531378
149	0.4398893835
150	0.4391506552
151	0.4385482073
152	0.4379856854
153	0.437311261
154	0.436635157
155	0.4359970411
156	0.4353969383
157	0.4348086457
158	0.4342118979
159	0.4336280376
160	0.4330033864
161	0.4323780073
162	0.4317648272
163	0.4311373846
164	0.4305494857
165	0.4298075753
166	0.4292472919
167	0.4287121711
168	0.428124813
169	0.4275835092
170	0.4270728981
171	0.4264364655
172	0.4258520714
173	0.4252798953
174	0.4247559831
175	0.4242567028
176	0.4236722371
177	0.4231374815
178	0.4225869031
179	0.4220357189
180	0.421556893
181	0.4210343779
182	0.4204610841
183	0.419943907
184	0.4194602045
185	0.4189555658
186	0.418461197
187	0.4180306144
188	0.4175217635
189	0.4171225783
190	0.4166528189
191	0.4162673974
192	0.4157646106
193	0.4153786319
194	0.4149457497
195	0.4145574748
196	0.4140689039
197	0.4136748262
198	0.413282589
199	0.4128832328
200	0.4124677242
201	0.4121380591
202	0.4117307652
203	0.411301047
204	0.4109303987
205	0.4105108137
206	0.410209044
207	0.4098287117
208	0.4093857686
209	0.4089485917
210	0.4085298548
211	0.4081521118
212	0.4078218203
213	0.4074541612
214	0.4070692463
215	0.4066828055
216	0.4062900276
217	0.4059459925
218	0.4055738828
219	0.4053050774
220	0.4049328949
221	0.4045646956
222	0.4041888781
223	0.403860238
224	0.4035044873
225	0.4032603079
226	0.4029353019
227	0.4026203529
228	0.4023201446
229	0.4019778434
230	0.4016264763
231	0.4013600162
232	0.4010741611
233	0.4007487415
234	0.4004387974
235	0.4001124854
236	0.3998123329
237	0.3995248246
238	0.3992053684
239	0.3988804727
240	0.3985073658
241	0.3982849641
242	0.3980348694
243	0.3977677377
244	0.3974372298
245	0.397199509
246	0.3969831023
247	0.3967521719
248	0.3965106767
249	0.3962901805
250	0.3959879615
251	0.3956100095
252	0.3953609801
253	0.3951149812
254	0.3948504209
255	0.3945985108
256	0.394349573
257	0.3941393085
258	0.3939399092
259	0.3937431853
260	0.3935386855
261	0.393276567
262	0.3930212742
263	0.3928362737
264	0.3926134054
265	0.3923946806
266	0.3921166382
267	0.3918660864
268	0.3915833446
269	0.3912858697
270	0.3910202787
271	0.3908376934
272	0.3905849218
273	0.3903639304
274	0.3901263596
275	0.3899029287
276	0.3896914026
277	0.389487305
278	0.3892292431
279	0.3890231679
280	0.3888266796
281	0.3886051031
282	0.3884046584
283	0.3882140725
284	0.3879473285
285	0.3877852748
286	0.3875772173
287	0.387364494
288	0.3871370934
289	0.3869470801
290	0.3867609735
291	0.3865673069
292	0.3863499445
293	0.3860786184
294	0.3858838412
295	0.3856883082
296	0.3855160397
297	0.3852350906
298	0.3849656723
299	0.384741752
300	0.384516406
301	0.3842754687
302	0.3840885108
303	0.3839403253
304	0.383793983
305	0.383633094
306	0.3834320862
307	0.3832844266
308	0.383129582
309	0.3829307904
310	0.3827626525
311	0.3825959355
312	0.382361131
313	0.3821206366
314	0.3819705321
315	0.3817951353
316	0.3815379197
317	0.3813597224
318	0.3812088217
319	0.381041385
320	0.3808799716
321	0.3807604267
322	0.3805590162
323	0.3804269338
324	0.3802383121
325	0.3800471621
326	0.3798691519
327	0.3797407568
328	0.3795435005
329	0.3793399421
330	0.3792079007
331	0.3791019462
332	0.3789642781
333	0.3787775727
334	0.3785704023
335	0.3783629068
336	0.3782039074
337	0.378037518
338	0.3778743209
339	0.3776819631
340	0.3775367097
341	0.3773611441
342	0.3771857895
343	0.3770145111
344	0.3767570904
345	0.3766515713
346	0.3764925506
347	0.3763773982
348	0.3762147485
349	0.3760785915
350	0.3759553839
351	0.3758415892
352	0.3756510881
353	0.3755415984
354	0.3754346299
355	0.3753350517
356	0.3751477917
357	0.3750022662
358	0.3748367629
359	0.3746869505
360	0.3745639979
361	0.3744673637
362	0.3743485539
363	0.3742529056
364	0.3741025677
365	0.3739936966
366	0.3738704637
367	0.3737670219
368	0.3736281238
369	0.3735097178
370	0.3734028776
371	0.3732589247
372	0.3731367536
373	0.3730349707
374	0.3728905907
375	0.3727567447
376	0.3726417206
377	0.3725103951
378	0.3724225108
379	0.3722416717
380	0.3721215612
381	0.3719809615
382	0.3718412949
383	0.3717614473
384	0.3716298421
385	0.3715232585
386	0.3713880068
387	0.3712826864
388	0.3711587152
389	0.3710322155
390	0.3708548774
391	0.3707356191
392	0.3705934595
393	0.3704862449
394	0.3703468189
395	0.3702284992
396	0.3701324326
397	0.3699840399
398	0.3698205476
399	0.3696790548
400	0.3695550984
401	0.3694747636
402	0.3693208959
403	0.3692046581
404	0.3690999553
405	0.3689437058
406	0.368810583
407	0.3687005064
408	0.3686001695
409	0.3685154937
410	0.3683628479
411	0.368192058
412	0.3680610514
413	0.3679642438
414	0.367837429
415	0.3676669628
416	0.3675867229
417	0.3674733999
418	0.3673856427
419	0.3672722483
420	0.3671398951
421	0.3670536894
422	0.366944839
423	0.3668160123
424	0.366725321
425	0.3666394895
426	0.366516408
427	0.36642201
428	0.366272675
429	0.3661514558
430	0.3660588742
431	0.365986419
432	0.3658315339
433	0.3657122453
434	0.365555689
435	0.3654386236
436	0.3653309836
437	0.3652558381
438	0.3651032415
439	0.3649960501
440	0.3648925255
441	0.3647578253
442	0.3646718873
443	0.3645088592
444	0.3644064272
445	0.364306782
446	0.3641917793
447	0.3641268149
448	0.3639930644
449	0.3638804538
450	0.3637926305
451	0.3637195277
452	0.363644826
453	0.3635830926
454	0.3635111288
455	0.3634232877
456	0.3633446722
457	0.363216353
458	0.3631511714
459	0.3630867568
460	0.3630742087
461	0.3629946076
462	0.3629025576
463	0.3627816174
464	0.3626833817
465	0.3625507511
466	0.3624726289
467	0.3623707044
468	0.3622836533
469	0.3622185148
470	0.3621034228
471	0.3620166251
472	0.3618459938
473	0.3616834141
474	0.3616127521
475	0.3615196488
476	0.361424365
477	0.3613194469
478	0.361227114
479	0.3611355857
480	0.3610009982
481	0.3608986561
482	0.3608225809
483	0.3608038156
484	0.3607180617
485	0.3606300671
486	0.3605532411
487	0.3604517094
488	0.360349845
489	0.3602901309
490	0.3601791754
491	0.3600056916
492	0.3598986099
493	0.3597712515
494	0.3596622877
495	0.3595729768
496	0.3594787947
497	0.3593725208
498	0.3593013237
499	0.3592100388
500	0.3591444317
501	0.359065563
502	0.3589966463
503	0.358860244
504	0.358779678
505	0.3586177074
506	0.3585246286
507	0.3583946638
508	0.3583178334
509	0.3582030784
510	0.3581246151
511	0.3580191116
512	0.3579009959
513	0.35785857
514	0.3577696575
515	0.3576527451
516	0.3574904344
517	0.357425049
518	0.3573470654
519	0.3572493547
520	0.3571522668
521	0.3570759374
522	0.356941241
523	0.3568667089
524	0.3567407572
525	0.3566365157
526	0.3565629212
527	0.3564749337
528	0.3564257379
529	0.3563718042
530	0.3563201723
531	0.356249184
532	0.3561114849
533	0.355946876
534	0.3558954091
535	0.3557296463
536	0.3556501586
537	0.3555390653
538	0.3554562398
539	0.3553426485
540	0.3552829676
541	0.3552089167
542	0.3551064213
543	0.3550250754
544	0.3549766783
545	0.3549192267
546	0.3548423453
547	0.3547921575
548	0.3547288651
549	0.3546352619
550	0.3545515875
551	0.3544541412
552	0.3543776339
553	0.3542641153
554	0.354171264
555	0.354098726
556	0.3540337887
557	0.3539547583
558	0.3538776639
559	0.3537958614
560	0.353668381
561	0.3535761328
562	0.3534220205
563	0.3533010981
564	0.353239337
565	0.3530556846
566	0.352989401
567	0.3529087052
568	0.352849675
569	0.3527345835
570	0.3526421143
571	0.3525742798
572	0.3524781341
573	0.3523760972
574	0.3522830885
575	0.3521735669
576	0.3520460632
577	0.3519843019
578	0.3518642679
579	0.3517465545
580	0.3516832208
581	0.3515609014
582	0.3514589884
583	0.3513602273
584	0.351282477
585	0.3512383401
586	0.3511524716
587	0.3510401061
588	0.3509495134
589	0.3508408561
590	0.350777958
591	0.3507067953
592	0.3506440243
593	0.3505837281
594	0.3505104828
595	0.3504094609
596	0.3503252724
597	0.3501956891
598	0.3501036764
599	0.3500314023
600	0.34989412
601	0.3498196532
602	0.3497568095
603	0.3497356522
604	0.3496514288
605	0.3495302729
606	0.3495021642
607	0.3494156823
608	0.3493357997
609	0.3492391216
610	0.3491083313
611	0.3490369039
612	0.3489449236
613	0.3487876695
614	0.3486971377
615	0.3486392966
616	0.3485007563
617	0.3484345538
618	0.3483674453
619	0.3482406467
620	0.3481712022
621	0.3480901941
622	0.3480101335
623	0.3479314304
624	0.3478681719
625	0.3477954113
626	0.3476922084
627	0.3476325292
628	0.3475257816
629	0.3473842304
630	0.3473030517
631	0.3472029229
632	0.3471301494
633	0.3470812317
634	0.3470213048
635	0.3469224447
636	0.3468362247
637	0.3467872783
638	0.3467264971
639	0.3465977467
640	0.3464826804
641	0.3463642646
642	0.3462848182
643	0.3461961424
644	0.3460906832
645	0.3459806811
646	0.3459024486
647	0.3457586195
648	0.3457328967
649	0.3456540776
650	0.3455912999
651	0.3454880276
652	0.3453363127
653	0.3452605998
654	0.3452204214
655	0.3450780495
656	0.3449858124
657	0.3449142345
658	0.3448339348
659	0.3447759462
660	0.3447228051
661	0.3446214237
662	0.3445676144
663	0.3444718244
664	0.3443942664
665	0.3443212621
666	0.3442539891
667	0.3441515899
668	0.3441089689
669	0.3440495865
670	0.3439337317
671	0.3437330603
672	0.3436348692
673	0.3435639724
674	0.3434421215
