iter	Passed	Remaining
0	12	12840
1	25	12511
2	37	12374
3	49	12353
4	62	12431
5	75	12450
6	87	12388
7	99	12385
8	111	12276
9	124	12277
10	136	12243
11	148	12210
12	159	12112
13	173	12192
14	186	12279
15	199	12267
16	212	12291
17	226	12356
18	238	12322
19	250	12291
20	263	12299
21	276	12309
22	290	12322
23	302	12290
24	314	12252
25	328	12288
26	339	12216
27	351	12203
28	363	12180
29	375	12133
30	386	12085
31	398	12067
32	411	12043
33	422	12006
34	434	11981
35	445	11922
36	456	11884
37	468	11863
38	480	11847
39	492	11810
40	505	11829
41	517	11800
42	529	11782
43	541	11760
44	553	11740
45	567	11766
46	579	11750
47	592	11760
48	605	11756
49	618	11749
50	629	11722
51	643	11728
52	655	11711
53	666	11678
54	679	11670
55	691	11654
56	704	11647
57	714	11607
58	725	11565
59	737	11560
60	749	11533
61	761	11513
62	773	11501
63	784	11466
64	798	11480
65	800	11328
66	812	11310
67	824	11303
68	837	11294
69	848	11271
70	861	11268
71	874	11272
72	887	11269
73	903	11307
74	917	11317
75	930	11317
76	944	11324
77	958	11334
78	971	11322
79	981	11289
80	994	11285
81	1006	11262
82	1018	11248
83	1030	11237
84	1042	11217
85	1053	11198
86	1066	11192
87	1081	11210
88	1095	11215
89	1110	11229
90	1123	11218
91	1135	11204
92	1149	11209
93	1163	11210
94	1175	11196
95	1187	11185
96	1200	11172
97	1213	11172
98	1227	11172
99	1239	11159
100	1252	11148
101	1263	11127
102	1274	11100
103	1287	11092
104	1300	11081
105	1313	11073
106	1325	11058
107	1336	11035
108	1350	11040
109	1363	11034
110	1377	11032
111	1397	11077
112	1419	11140
113	1442	11211
114	1463	11266
115	1483	11303
116	1507	11378
117	1529	11433
118	1548	11461
119	1566	11489
120	1594	11580
121	1616	11634
122	1708	12179
123	1729	12214
124	1793	12553
125	1838	12749
126	1870	12855
127	1890	12881
128	1913	12919
129	1932	12933
130	1949	12933
131	1967	12939
132	1984	12937
133	2004	12957
134	2044	13100
135	2068	13140
136	2088	13153
137	2108	13167
138	2129	13187
139	2144	13173
140	2162	13173
141	2183	13191
142	2198	13178
143	2216	13175
144	2234	13177
145	2253	13183
146	2275	13206
147	2292	13198
148	2310	13199
149	2336	13240
150	2353	13231
151	2372	13236
152	2391	13237
153	2413	13260
154	2432	13260
155	2449	13251
156	2464	13233
157	2481	13223
158	2497	13208
159	2512	13190
160	2526	13167
161	2538	13131
162	2551	13100
163	2566	13083
164	2582	13066
165	2596	13045
166	2611	13026
167	2626	13006
168	2642	12992
169	2659	12986
170	2678	12982
171	2700	13000
172	2719	12997
173	2735	12984
174	2751	12972
175	2769	12967
176	2790	12975
177	2805	12956
178	2822	12943
179	2839	12934
180	2853	12913
181	2872	12908
182	2891	12907
183	2907	12896
184	2922	12873
185	2936	12849
186	2950	12826
187	2967	12817
188	2982	12797
189	2999	12786
190	3015	12771
191	3029	12748
192	3047	12742
193	3063	12728
194	3078	12707
195	3092	12687
196	3104	12654
197	3118	12633
198	3130	12601
199	3143	12574
200	3157	12550
201	3171	12528
202	3184	12504
203	3197	12474
204	3210	12450
205	3225	12430
206	3236	12397
207	3248	12370
208	3260	12340
209	3273	12314
210	3284	12282
211	3294	12246
212	3307	12218
213	3318	12189
214	3330	12161
215	3343	12136
216	3356	12109
217	3367	12078
218	3378	12048
219	3389	12017
220	3401	11991
221	3415	11968
222	3426	11940
223	3439	11914
224	3452	11891
225	3465	11868
226	3479	11849
227	3493	11829
228	3505	11803
