,Unnamed: 0,title,description,date,tags,rating,prep_text,tokenize_text,text_stem,text_lemm,cluster
0,0,Counter-Strike 2,"Об этой игре Более двух десятилетий Counter-Strike служит примером первоклассной соревновательной игры, путь развития которой определяют миллионы игроков со всего мира. Теперь пришло время нового этапа — Counter-Strike 2.Counter-Strike 2 — это бесплатное улучшение для CS:GO, которое знаменует собой крупнейший технологический скачок в истории серии. Оно разработано на движке Source 2 и модернизирует игру благодаря реалистичному и физически корректному рендерингу, организации сети по последнему слову технологий и улучшенным инструментам для мастерской сообщества.Кроме представленного в 1999 году классического игрового процесса, завязанного на достижении цели, Counter-Strike 2 включает:новые рейтинги CS и обновлённый премьер-режим;глобальные и региональные таблицы лидеров;улучшенные и воссозданные с нуля карты;принципиально новый динамический дым от гранат;игровой процесс, не зависящий от тикрейта;переосмысленные визуальные эффекты и звуки;все предметы инвентаря из CS:GO.","21 Aug, 2012","Шутер от первого лица, Шутер, Для нескольких игроков, Соревновательная, Экшен, Командная, Киберспорт, Тактика, От первого лица, Игрок против игрока, Сетевой кооператив, Кооператив, Стратегия, Военные действия, Война, Сложная, Торговля, Реализм, Быстрая, Поддержка модификаций",9 / 10,об этой игре более двух десятилетий   служит примером первоклассной соревновательной игры путь развития которой определяют миллионы игроков со всего мира теперь пришло время нового этапа     это бесплатное улучшение для   которое знаменует собой крупнейший технологический скачок в истории серии оно разработано на движке  и модернизирует игру благодаря реалистичному и физически корректному рендерингу организации сети по последнему слову технологий и улучшенным инструментам для мастерской сообщества кроме представленного в году классического игрового процесса завязанного на достижении цели   включает новые рейтинги  и обновлённый премьер режим глобальные и региональные таблицы лидеров улучшенные и воссозданные с нуля карты принципиально новый динамический дым от гранат игровой процесс не зависящий от тикрейта переосмысленные визуальные эффекты и звуки все предметы инвентаря из   ,игре двух десятилетий служит примером первоклассной соревновательной игры путь развития которой определяют миллионы игроков мира пришло время нового этапа бесплатное улучшение которое знаменует собой крупнейший технологический скачок истории серии оно разработано движке модернизирует игру благодаря реалистичному физически корректному рендерингу организации сети последнему слову технологий улучшенным инструментам мастерской сообщества кроме представленного году классического игрового процесса завязанного достижении цели включает новые рейтинги обновлённый премьер режим глобальные региональные таблицы лидеров улучшенные воссозданные нуля карты принципиально новый динамический дым гранат игровой процесс зависящий тикрейта переосмысленные визуальные эффекты звуки предметы инвентаря,игр двух десятилет служ пример первоклассн соревновательн игр пут развит котор определя миллион игрок мир пришл врем нов этап бесплатн улучшен котор знамен соб крупн технологическ скачок истор сер он разработа движк модернизир игр благодар реалистичн физическ корректн рендеринг организац сет последн слов технолог улучшен инструмент мастерск сообществ кром представлен год классическ игров процесс завяза достижен цел включа нов рейтинг обновлен премьер реж глобальн региональн таблиц лидер улучшен воссозда нул карт принципиальн нов динамическ дым гранат игров процесс завися тикрейт переосмыслен визуальн эффект звук предмет инвентар,игра десятилетие служить пример первоклассный соревновательный игра путь развитие определять миллион игрок мир прийти время новый этап бесплатный улучшение знаменовать крупный технологический скачок история серия оно разработать движок модернизировать игра благодаря реалистичный физически корректный рендеринг организация сеть последний слово технология улучшить инструмент мастерская сообщество кроме представить год классический игровой процесс завязать достижение цель включать новый рейтинг обновить премьер режим глобальный региональный таблица лидер улучшить воссоздать нуль карта принципиально новый динамический дым гранат игровой процесс зависеть тикрейт переосмыслить визуальный эффект звук предмет инвентарь,1
1,1,Clair Obscur: Expedition 33,"Об этой игре Раз в год Художница просыпается и рисует на Монолите. Выводит свое проклятое число. И каждый, чей возраст совпадает с числом, обращается в дым и угасает. Каждый год число уменьшается. Уже завтра она проснется и напишет цифру «33». Мы отправляемся в последнюю экспедицию, чтобы уничтожить Художницу.Мы — Экспедиция 33.Clair Obscur: Expedition 33 — это новая пошаговая ролевая игра с уникальной механикой реального времени, от которой невозможно оторваться. Исследуйте мир, созданный на основе Прекрасной эпохи Франции, и сражайтесь с опасными врагами.В этой новой JRPG действия в реальном времени дополняют классические пошаговые бои. Создайте уникальную экспедицию, используя разнообразное снаряжение, навыки, параметры и взаимодействия между ее участниками. Выполняйте уклонения, парируйте и наносите контрудары в реальном времени, собирайте комбо, осваивая ритмы атак, и нацеливайтесь на слабые места противника, используя систему прицеливания.Остался всего год. Присоединяйтесь к Гюставу, Маэль и другим участникам экспедиции в отчаянном путешествии, чтобы разорвать порочный круг смерти, созданный Художницей. Пройдите по следам предыдущих экспедиций и узнайте их судьбу. Познакомьтесь с участниками Экспедиции 33, которым предстоит работать вместе ради достижения их цели.Исследуйте чарующий мир, населенный сюрреалистическими врагами. Путешествуя по захватывающим пейзажам, от острова Многоликого до Забытого поля боя, открывайте скрытые задания и разгадывайте тайны. Находите союзников среди существ из легенд и встречайте уникальных компаньонов, используйте новые способы передвижения и раскрывайте тайные места на карте.Познакомьтесь с дебютной игрой от Sandfall Interactive, созданной на базе Unreal Engine 5. Вас ждут потрясающая графика и трогательный саундтрек.","24 Apr, 2025","Пошаговые сражения, Глубокий сюжет, Фэнтези, Исследования, Ролевая игра, Японская ролевая игра, Приключение, Проработанная вселенная, Ролевой экшен, Для одного игрока, Партийная ролевая игра, Похожа на Dark Souls, Кастомизация персонажа, 3D, Тёмное фэнтези, Постапокалипсис, Повествовательная, Реализм, Отличный саундтрек, Экшен",9 / 10,об этой игре раз в год художница просыпается и рисует на монолите выводит свое проклятое число и каждый чей возраст совпадает с числом обращается в дым и угасает каждый год число уменьшается уже завтра она проснется и напишет цифру мы отправляемся в последнюю экспедицию чтобы уничтожить художницу мы экспедиция    это новая пошаговая ролевая игра с уникальной механикой реального времени от которой невозможно оторваться исследуйте мир созданный на основе прекрасной эпохи франции и сражайтесь с опасными врагами в этой новой  действия в реальном времени дополняют классические пошаговые бои создайте уникальную экспедицию используя разнообразное снаряжение навыки параметры и взаимодействия между ее участниками выполняйте уклонения парируйте и наносите контрудары в реальном времени собирайте комбо осваивая ритмы атак и нацеливайтесь на слабые места противника используя систему прицеливания остался всего год присоединяйтесь к гюставу маэль и другим участникам экспедиции в отчаянном путешествии чтобы разорвать порочный круг смерти созданный художницей пройдите по следам предыдущих экспедиций и узнайте их судьбу познакомьтесь с участниками экспедиции которым предстоит работать вместе ради достижения их цели исследуйте чарующий мир населенный сюрреалистическими врагами путешествуя по захватывающим пейзажам от острова многоликого до забытого поля боя открывайте скрытые задания и разгадывайте тайны находите союзников среди существ из легенд и встречайте уникальных компаньонов используйте новые способы передвижения и раскрывайте тайные места на карте познакомьтесь с дебютной игрой от   созданной на базе   вас ждут потрясающая графика и трогательный саундтрек ,игре год художница просыпается рисует монолите выводит свое проклятое число каждый чей возраст совпадает числом обращается дым угасает каждый год число уменьшается завтра проснется напишет цифру отправляемся последнюю экспедицию уничтожить художницу экспедиция новая пошаговая ролевая игра уникальной механикой реального времени которой невозможно оторваться исследуйте мир созданный основе прекрасной эпохи франции сражайтесь опасными врагами новой действия реальном времени дополняют классические пошаговые бои создайте уникальную экспедицию используя разнообразное снаряжение навыки параметры взаимодействия участниками выполняйте уклонения парируйте наносите контрудары реальном времени собирайте комбо осваивая ритмы атак нацеливайтесь слабые места противника используя систему прицеливания остался год присоединяйтесь гюставу маэль другим участникам экспедиции отчаянном путешествии разорвать порочный круг смерти созданный художницей пройдите следам предыдущих экспедиций узнайте судьбу познакомьтесь участниками экспедиции которым предстоит работать вместе ради достижения цели исследуйте чарующий мир населенный сюрреалистическими врагами путешествуя захватывающим пейзажам острова многоликого забытого поля боя открывайте скрытые задания разгадывайте тайны находите союзников среди существ легенд встречайте уникальных компаньонов используйте новые способы передвижения раскрывайте тайные места карте познакомьтесь дебютной игрой созданной базе ждут потрясающая графика трогательный саундтрек,игр год художниц просыпа рис монол вывод сво проклят числ кажд че возраст совпада числ обраща дым угаса кажд год числ уменьша завтр проснет напишет цифр отправля последн экспедиц уничтож художниц экспедиц нов пошагов ролев игр уникальн механик реальн времен котор невозможн оторва исслед мир созда основ прекрасн эпох франц сража опасн враг нов действ реальн времен дополня классическ пошагов бо созда уникальн экспедиц использу разнообразн снаряжен навык параметр взаимодейств участник выполня уклонен парир нанос контрудар реальн времен собира комб осваив ритм атак нацелива слаб мест противник использу сист прицеливан оста год присоединя гюстав маэл друг участник экспедиц отчая путешеств разорва порочн круг смерт созда художниц пройд след предыдущ экспедиц узна судьб познакомьт участник экспедиц котор предсто работа вмест рад достижен цел исслед чар мир населен сюрреалистическ враг путешеству захватыва пейзаж остров многолик забыт пол бо открыва скрыт задан разгадыва тайн наход союзник сред существ легенд встреча уникальн компаньон использ нов способ передвижен раскрыва тайн мест карт познакомьт дебютн игр созда баз ждут потряса график трогательн саундтрек,игра год художница просыпаться рисовать монолит выводить проклятый число каждый чей возраст совпадать число обращаться дым угасать каждый год число уменьшаться завтра проснуться написать цифра отправляться последний экспедиция уничтожить художница экспедиция новый пошаговый ролевый игра уникальный механика реальный время невозможно оторваться исследовать мир создать основа прекрасный эпоха франция сражаться опасный враг новый действие реальный время дополнять классический пошаговый бой создать уникальный экспедиция использовать разнообразный снаряжение навык параметр взаимодействие участник выполнять уклонение парировать наносить контрудар реальный время собирать комбо осваивать ритм атака нацеливаться слабый место противник использовать система прицеливание остаться год присоединяться гюстав маэль участник экспедиция отчаянный путешествие разорвать порочный круг смерть создать художница пройти след предыдущий экспедиция узнать судьба познакомиться участник экспедиция предстоять работать вместе ради достижение цель исследовать чаровать мир населить сюрреалистический враг путешествовать захватывать пейзаж остров многоликий забытый поле бой открывать скрытый задание разгадывать тайна находить союзник среди существо легенда встречать уникальный компаньон использовать новый способ передвижение раскрывать тайный место карта познакомиться дебютный игра создать база ждать потрясать графика трогательный саундтрек,3
2,2,DOOM: The Dark Ages,"Об этой игре СТАНЬТЕ ПАЛАЧОМ В СРЕДНЕВЕКОВОЙ ВОЙНЕ С АДОМDOOM: The Dark Ages от студии id Software — это зрелищное сказание о легендарном Палаче Рока, которое поведает предысторию снискавших всемирную известность игр DOOM (2016) и DOOM Eternal. В третьей части современной серии DOOM игроки вновь наденут броню Палача Рока и прольют реки крови в мрачной средневековой войне с силами ада, какой ещё не видели.DOOM: The Dark Ages — новая одиночная кампания в несравненной серии DOOM — на стыке научной фантастики и тёмного фэнтези. Вас ждут яростные сражения и сногсшибательная графика на основе движка idTech посПОКОРИТЕ АД Рвите врагов в клочья, ведь вы — настоящее супероружие богов и царей. Для этой цели в вашем распоряжении окажутся не только классические средства, такие как супердробовик: вы сможете перемалывать кости врагам массой нового оружия, в том числе универсальным щитом-пилой. Игрокам будут противостоять орды демонов — приготовьтесь к безжалостным сражениям в духе оригинальной DOOM.  ВЫХОДИ И СРАЖАЙСЯ Узнайте об истоках ярости Палача Рока. Проживите историю обречённого быть супероружием в руках богов и царей. Палачу предстоит сдерживать натиск легионов ада и противостоять их главарю, цель которого — стать единственным существом в мире, чьё имя внушает страх, а значит, уничтожить самого Палача. Вы увидите рождение легенды, сразитесь со всей армией преисподней и переломите ход войны.  ОТКРОЙТЕ НЕИЗВЕДАННЫЕ МИРЫ Чтобы сокрушить полчища ада, Палач должен обагрить кровью новые земли. Загадки, испытания и награды прячутся в тенистых уголках древних замков, на огромных полях сражений, в мрачных лесах, древних чертогах ада и иных мирах. Вооружившись мощным щитом-пилой, прорубите себе путь через тёмный мир тайн и опасностей, исследуя самые масштабные уровни в истории id.","14 May, 2025","Экшен, Шутер от первого лица, Демоны, Тёмное фэнтези, Для одного игрока, Кинематографичная, Научная фантастика, Глубокий сюжет, Сцены жестокости, От первого лица, Атмосферная, Шутер, Проработанная вселенная, Драконы, Для взрослых, Мехи, Приключение, Кровь, Быстрая, Бумерский шутер",9 / 10,об этой игре станьте палачом в средневековой войне с адомdoom    от студии   это зрелищное сказание о легендарном палаче рока которое поведает предысторию снискавших всемирную известность игр  и   в третьей части современной серии  игроки вновь наденут броню палача рока и прольют реки крови в мрачной средневековой войне с силами ада какой ещё не видели     новая одиночная кампания в несравненной серии  на стыке научной фантастики и тёмного фэнтези вас ждут яростные сражения и сногсшибательная графика на основе движка  поспокорите ад рвите врагов в клочья ведь вы настоящее супероружие богов и царей для этой цели в вашем распоряжении окажутся не только классические средства такие как супердробовик вы сможете перемалывать кости врагам массой нового оружия в том числе универсальным щитом пилой игрокам будут противостоять орды демонов приготовьтесь к безжалостным сражениям в духе оригинальной  выходи и сражайся узнайте об истоках ярости палача рока проживите историю обречённого быть супероружием в руках богов и царей палачу предстоит сдерживать натиск легионов ада и противостоять их главарю цель которого стать единственным существом в мире чьё имя внушает страх а значит уничтожить самого палача вы увидите рождение легенды сразитесь со всей армией преисподней и переломите ход войны откройте неизведанные миры чтобы сокрушить полчища ада палач должен обагрить кровью новые земли загадки испытания и награды прячутся в тенистых уголках древних замков на огромных полях сражений в мрачных лесах древних чертогах ада и иных мирах вооружившись мощным щитом пилой прорубите себе путь через тёмный мир тайн и опасностей исследуя самые масштабные уровни в истории  ,игре станьте палачом средневековой войне адомdoom студии зрелищное сказание легендарном палаче рока которое поведает предысторию снискавших всемирную известность игр третьей части современной серии игроки вновь наденут броню палача рока прольют реки крови мрачной средневековой войне силами ада ещё видели новая одиночная кампания несравненной серии стыке научной фантастики тёмного фэнтези ждут яростные сражения сногсшибательная графика основе движка поспокорите ад рвите врагов клочья настоящее супероружие богов царей цели вашем распоряжении окажутся классические средства такие супердробовик сможете перемалывать кости врагам массой нового оружия числе универсальным щитом пилой игрокам будут противостоять орды демонов приготовьтесь безжалостным сражениям духе оригинальной выходи сражайся узнайте истоках ярости палача рока проживите историю обречённого супероружием руках богов царей палачу предстоит сдерживать натиск легионов ада противостоять главарю цель которого стать единственным существом мире чьё имя внушает страх значит уничтожить самого палача увидите рождение легенды сразитесь всей армией преисподней переломите ход войны откройте неизведанные миры сокрушить полчища ада палач должен обагрить кровью новые земли загадки испытания награды прячутся тенистых уголках древних замков огромных полях сражений мрачных лесах древних чертогах ада иных мирах вооружившись мощным щитом пилой прорубите путь тёмный мир тайн опасностей исследуя самые масштабные уровни истории,игр станьт палач средневеков войн адомдо студ зрелищн сказан легендарн палач рок котор поведа предыстор сниска всемирн известн игр трет част современ сер игрок внов наденут брон палач рок прольют рек кров мрачн средневеков войн сил ад ещ видел нов одиночн кампан несравнен сер стык научн фантастик темн фэнтез ждут яростн сражен сногсшибательн график основ движк поспокор ад рвит враг клоч настоя супероруж бог цар цел ваш распоряжен окажут классическ средств так супердробовик сможет перемалыва кост враг масс нов оруж числ универсальн щит пил игрок будут противостоя орд демон приготовьт безжалостн сражен дух оригинальн выход сража узна исток ярост палач рок прожив истор обречен супероруж рук бог цар палач предсто сдержива натиск легион ад противостоя главар цел котор стат единствен существ мир чье им внуша страх знач уничтож сам палач увид рожден легенд сраз все арм преисподн перелом ход войн откройт неизведа мир сокруш полчищ ад палач долж обагр кров нов земл загадк испытан наград прячут тенист уголк древн замк огромн пол сражен мрачн лес древн чертог ад ин мир вооруж мощн щит пил проруб пут темн мир тайн опасн исследу сам масштабн уровн истор,игра стать палач средневековый война адомdoom студия зрелищный сказание легендарный палач рок поведать предыстория снискать всемирный известность игра третий часть современный серия игрок вновь надеть броня палач рок пролить река кровь мрачный средневековый война сила ад ещё видеть новый одиночный кампания несравненный серия стык научный фантастика тёмный фэнтези ждать яростный сражение сногсшибательный графика основа движок поспокорить ад рвать враг клок настоящий супероружие бог царь цель ваш распоряжение оказаться классический средство супердробовик смочь перемалывать кость враг масса новый оружие число универсальный щит пила игрок противостоять орда демон приготовиться безжалостный сражение дух оригинальный выходить сражаться узнать исток ярость палач рок прожить история обречь супероружие рука бог царь палач предстоять сдерживать натиск легион ад противостоять главарь цель стать единственный существо мир чей имя внушать страх значит уничтожить палач увидеть рождение легенда сразиться весь армия преисподняя переломить ход война открыть неизведанный мир сокрушить полчище ад палач должный обагрить кровь новый земля загадка испытание награда прятаться тенистый уголок древний замок огромный поле сражение мрачный лес древний чертог ад иной мир вооружиться мощный щит пила прорубить путь тёмный мир тайна опасность исследовать самый масштабный уровень история,4
3,3,Cyberpunk 2077,"Об этой игре Cyberpunk 2077 — приключенческая ролевая игра с открытым миром, рассказывающая о киберпанке-наёмнике Ви и борьбе за жизнь в мегаполисе Найт-Сити. Мрачное будущее стало ещё более впечатляющим в улучшенной версии, в которую вошли новые дополнительные материалы. Создайте персонажа, выберите стиль игры и начните свой путь к высшей лиге, выполняя заказы, улучшая репутацию и оттачивая навыки. Ваши поступки влияют на происходящее и на весь город. В нём рождаются легенды. Какую сложат о вас?CYBERPUNK 2077 ПРЕОБРАЖАЕТСЯ В ОБНОВЛЕНИИ 2.2Бесплатное обновление 2.2 — ваш шанс блеснуть. Меняйте образ Ви с помощью новых имплантов, татуировок и макияжа. Прокачивайте авто с системой «Хрустальное покрытие» от «Рейфилд» и меняйте цвет элитных и спортивных машин по настроению. А ещё делайте шикарные снимки в обновлённом фоторежиме. Пора зажигать!СОЗДАЙТЕ СВОЙ МИР КИБЕРПАНКАСтаньте оснащённым имплантами преступником и сделайте себе имя на улицах Найт-Сити.ПОСЕЛИТЕСЬ В ГОРОДЕ БУДУЩЕГОВ Найт-Сити всегда есть чем заняться, куда сходить и с кем поговорить. Место, время и способ передвижения выбираете только вы.СТАНЬТЕ ЛЕГЕНДОЙПроворачивайте смелые аферы и заводите дружбу с харизматичными персонажами, на жизнь которых влияют ваши решения.ОЦЕНИТЕ УЛУЧШЕНИЯПосмотрите, как изменился Cyberpunk 2077 после усовершенствования игрового процесса, экономики, функционирования города, карты и прочих элементов.ПОЛУЧИТЕ ЭКСКЛЮЗИВНЫЕ НАГРАДЫПолучите игровые предметы и цифровые материалы, посвящённые играм CD PROJEKT RED, в рамках программы «Мои награды».УЗНАЙТЕ БОЛЬШЕ НА","9 Dec, 2020","Киберпанк, Открытый мир, Нагота, Ролевая игра, Для одного игрока, Научная фантастика, Шутер от первого лица, Для взрослых, Глубокий сюжет, Будущее, От первого лица, Атмосферная, Исследования, Экшен, Насилие, Отличный саундтрек, Ролевой экшен, Приключение, Кастомизация персонажа, Иммерсивный симулятор",9 / 10,об этой игре  приключенческая ролевая игра с открытым миром рассказывающая о киберпанке наёмнике ви и борьбе за жизнь в мегаполисе найт сити мрачное будущее стало ещё более впечатляющим в улучшенной версии в которую вошли новые дополнительные материалы создайте персонажа выберите стиль игры и начните свой путь к высшей лиге выполняя заказы улучшая репутацию и оттачивая навыки ваши поступки влияют на происходящее и на весь город в нём рождаются легенды какую сложат о вас  преображается в обновлении бесплатное обновление ваш шанс блеснуть меняйте образ ви с помощью новых имплантов татуировок и макияжа прокачивайте авто с системой хрустальное покрытие от рейфилд и меняйте цвет элитных и спортивных машин по настроению а ещё делайте шикарные снимки в обновлённом фоторежиме пора зажигать создайте свой мир киберпанкастаньте оснащённым имплантами преступником и сделайте себе имя на улицах найт сити поселитесь в городе будущегов найт сити всегда есть чем заняться куда сходить и с кем поговорить место время и способ передвижения выбираете только вы станьте легендойпроворачивайте смелые аферы и заводите дружбу с харизматичными персонажами на жизнь которых влияют ваши решения оцените улучшенияпосмотрите как изменился  после усовершенствования игрового процесса экономики функционирования города карты и прочих элементов получите эксклюзивные наградыполучите игровые предметы и цифровые материалы посвящённые играм    в рамках программы мои награды узнайте больше на,игре приключенческая ролевая игра открытым миром рассказывающая киберпанке наёмнике ви борьбе жизнь мегаполисе найт сити мрачное будущее стало ещё впечатляющим улучшенной версии которую вошли новые дополнительные материалы создайте персонажа выберите стиль игры начните путь высшей лиге выполняя заказы улучшая репутацию оттачивая навыки ваши поступки влияют происходящее весь город нём рождаются легенды какую сложат преображается обновлении бесплатное обновление ваш шанс блеснуть меняйте образ ви помощью новых имплантов татуировок макияжа прокачивайте авто системой хрустальное покрытие рейфилд меняйте цвет элитных спортивных машин настроению ещё делайте шикарные снимки обновлённом фоторежиме пора зажигать создайте мир киберпанкастаньте оснащённым имплантами преступником сделайте имя улицах найт сити поселитесь городе будущегов найт сити заняться сходить кем поговорить место время способ передвижения выбираете станьте легендойпроворачивайте смелые аферы заводите дружбу харизматичными персонажами жизнь которых влияют ваши решения оцените улучшенияпосмотрите изменился усовершенствования игрового процесса экономики функционирования города карты прочих элементов получите эксклюзивные наградыполучите игровые предметы цифровые материалы посвящённые играм рамках программы мои награды узнайте,игр приключенческ ролев игр открыт мир рассказыва киберпанк наемник ви борьб жизн мегаполис найт сит мрачн будущ стал ещ впечатля улучшен верс котор вошл нов дополнительн материал созда персонаж выбер стил игр начн пут высш лиг выполн заказ улучш репутац оттачив навык ваш поступк влия происходя ве город нем рожда легенд как сложат преобража обновлен бесплатн обновлен ваш шанс блеснут меня образ ви помощ нов имплант татуировок макияж прокачива авт систем хрустальн покрыт рейфилд меня цвет элитн спортивн машин настроен ещ дела шикарн снимк обновлен фоторежим пор зажига созда мир киберпанкастаньт оснащен имплант преступник сдела им улиц найт сит посел город будущег найт сит заня сход кем поговор мест врем способ передвижен выбира станьт легендойпроворачива смел афер завод дружб харизматичн персонаж жизн котор влия ваш решен оцен улучшенияпосмотр измен усовершенствован игров процесс экономик функционирован город карт проч элемент получ эксклюзивн наградыполуч игров предмет цифров материал посвящен игр рамк программ мо наград узна,игра приключенческий ролевый игра открытый мир рассказывать киберпанк наёмник ви борьба жизнь мегаполис найта сити мрачный будущее стать ещё впечатляющий улучшить версия войти новый дополнительный материал создать персонаж выбрать стиль игра начать путь высокий лига выполнять заказ улучшать репутация оттачивать навык ваш поступок влиять происходить весь город рождаться легенда сложить преображаться обновление бесплатный обновление ваш шанс блеснуть менять образ ви помощь новый имплант татуировка макияж прокачивать авто система хрустальный покрытие рейфилд менять цвет элитный спортивный машина настроение ещё делать шикарный снимок обновить фоторежим пора зажигать создать мир киберпанкастанить оснастить имплант преступник сделать имя улица найта сити поселиться город будущег найта сити заняться сходить поговорить место время способ передвижение выбирать стать легендойпроворачивать смелый афера заводить дружба харизматичный персонаж жизнь влиять ваш решение оценить улучшенияпосмотрит измениться усовершенствование игровой процесс экономика функционирование город карта прочий элемент получить эксклюзивный наградыполучить игровой предмет цифровой материал посвятить игра рамка программа награда узнать,4
