text,processed_text
"Вот полностью согласен с автором. Зачем? Какие нахрен проститутки и случайные связи? Если у меня есть жена.Отправили меня в середине июля в 20 году в командировку в Крым под Ялту со словами: быстро проверишь объект и исполнительную и домой, там работы то на 2 недели максимумага конечно так я вам и поверил!Через 2 недели я технично понял что я тут надолго в принципе. И так же коллеги спрашивали по типу почему не снимаю девушек лёгкого поведения ну или на крайняк не знакомлюсь? Как ни как лето, Крым и отдыхающих одиноких девушек/женщин предостаточно, а у меня хороший номер в отеле с большой кроватью и балкон с видом на море и Ай-Петри. А любви и ласки хочется, тем более когда вокруг ходят загорелые девушки в купальниках ходят. Не долго думая звоню жене и сообщаю что бы брала выходные за своё счёт и собирала чемодан с купальниками. И уже на следующий день в 8 утра я её уже встречаю. Шикарно провели 5 дней, в рабочие время она на пляже пока я на объекте, а в выходные уже полноценно отдыхали. И жена довольная и загорелая улетала домой. Через месяц снова прилетела уже на неделю.В Кисловодск летал в командировки, всё тоже самое: выходные-билеты-чемодан-аэропорт и довольная жена рядом. Так что я лучше потрачусь на любимую жену и сделаю ей приятно и хорошо, чем выкину денег не пойми на что и не пойми с каким результатом, да и ни совесть ни моё мировоззрение мне не позволит подло поступить в отношении любимого человека. Ну и жена всегда потащит мою ленивую жопку куда нибудь, потому что я запросто могу все выходные просидеть в номере.Любите друг друга и всегда оставайтесь верными и вам за это воздастся!Показать полностью1",полностью согласный автор нахрен проститутка случайный связь жена отправить середина июль год командировка крым ялта слово быстро проверить объект исполнительный домой работа неделя максимумаг поверить неделя технично понять надолго принцип коллега спрашивать тип почему снимать девушка лёгкий поведение крайняк знакомиться лето крым отдыхать одинокий девушка женщина предостаточно хороший номер отель большой кровать балкон вид море ай петереть любовь ласка хотеться вокруг ходить загорелый девушка купальник ходить долго думать звонить жена сообщать брать выходной свой счёт собирать чемодан купальник следующий день утро её встречать шикарно провести день рабочий время пляж пока объект выходной полноценно отдыхать жена довольный загорелый улетать домой месяц снова прилететь неделя кисловодск летать командировка всё самый выходной билет чемодан аэропорт довольный жена рядом потратиться любимый жена сделать приятно выкинуть деньга понять понять результат совесть мировоззрение позволить подло поступить отношение любимый человек жена потащить ленивый жопка запросто мочь выходной просидеть номер любить друг друг оставаться верный это воздаться показать полностью
Солидная у тебя шайба,солидный шайба
Для ЛЛ: белорус в Москве вызвал жену вместо проститутки (вышло дешевле).,лл белорус москва вызвать жена вместо проститутка выйти дешёвый
Я тож так предлагал жене прилететь ко мне в Волгоград.отлично провели время. По деньгам не подскажу-но не особо дорого. Дело в том году было.,тож предлагать жена прилететь волгоград отлично провести время деньга подсказать особо дорого дело год
напомнило. извините.,напомнить извинить
в результате где-то в мск плачет голодная проститутка. возможно тоже из провинциального городка РБ. добрее быть надо !,результат мск плакать голодный проститутка возможно провинциальный городок рб добрый
Жена красивая.,жена красивый
"С такой женой красавицей ты никогда не сможешь понять тех, кто проституток заказывает =)",жена красавица смочь понять проститутка заказывать
У жены глаза такие счастливые!,жена глаз счастливый
Как же у вас там всё рядом. Я вот езжу в родной посёлок. 800км. Тысяч 10 только на дорогу. Сутки в пути на трёх автобусах. На блаблакаре предложений почти не бывает.,всё рядом ездить родный посёлок км тысяча дорога сутки путь автобус блаблакар предложение бывать
"Жму руку, брат. Так держать!!!",жать рука брат держать
