text,processed_text
Солидная у тебя шайба,солидный шайба
Для ЛЛ: белорус в Москве вызвал жену вместо проститутки (вышло дешевле).,лл белорус москва вызвать жена вместо проститутка выйти дешёвый
Я тож так предлагал жене прилететь ко мне в Волгоград.отлично провели время. По деньгам не подскажу-но не особо дорого. Дело в том году было.,тож предлагать жена прилететь волгоград отлично провести время деньга подсказать особо дорого дело год
напомнило. извините.,напомнить извинить
в результате где-то в мск плачет голодная проститутка. возможно тоже из провинциального городка РБ. добрее быть надо !,результат мск плакать голодный проститутка возможно провинциальный городок рб добрый
Жена красивая.,жена красивый
Как же у вас там всё рядом. Я вот езжу в родной посёлок. 800км. Тысяч 10 только на дорогу. Сутки в пути на трёх автобусах. На блаблакаре предложений почти не бывает.,всё рядом ездить родный посёлок км тысяча дорога сутки путь автобус блаблакар предложение бывать
"Жму руку, брат. Так держать!!!",жать рука брат держать
"У нас реально такие мужики что не могут потерпеть во время командировки, как животные себя ведут? Что за товарищи такие, для которых норма вызывать проституток?... Это какая вообще прослойка интеллектуальная и социальная?",реально мужик мочь потерпеть время командировка животное вести товарищ который норма вызывать проститутка это вообще прослойка интеллектуальный социальный
"Жене не показывайте, что вы её вызывали не потому, что вы романтик любите и скучаете, а потому что она выгоднее шлюхи оказалась.",жена показывать её вызывать романтик любить скучать выгодный шлюха оказаться
"Я, конечно, могу пойти сразу нахер со своими непрошенными советами, но тебе не помешало бы похудеть чутка, мужик) Жена у тебя красотка такая, теряешься на её фоне) Немного скинуть лишний вес и уже расцветёшь.Дада, иду нахер, помню, знаю.",мочь пойти сразу нахер свой непрошенный совет помешать похудеть чуткий мужик жена красотка теряться её фон немного скинуть лишний вес расцвести дада идти нахер помнить знать
